anio,seleccion_id,posicion,etapa,pts,pj,pg,pe,pp,gf,gc,dif,participo
1954,8,,no participo,,,,,,,,,f
1958,8,,no participo,,,,,,,,,f
1962,8,,no participo,,,,,,,,,f
1966,8,,no participo,,,,,,,,,f
1970,8,,no participo,,,,,,,,,f
1974,8,,no participo,,,,,,,,,f
1978,8,,no participo,,,,,,,,,f
1982,8,,no participo,,,,,,,,,f
1986,8,,no participo,,,,,,,,,f
1990,8,,no participo,,,,,,,,,f
1994,8,21,Grupos 1ra Ronda,1,3,0,1,2,1,4,-3,t
1998,8,,no participo,,,,,,,,,f
2002,8,,no participo,,,,,,,,,f
2006,8,,no participo,,,,,,,,,f
2010,8,,no participo,,,,,,,,,f
2014,8,,no participo,,,,,,,,,f
2018,8,,no participo,,,,,,,,,f
2022,8,,no participo,,,,,,,,,f
2026,8,,,,,,,,,,,t
1930,9,,no participo,,,,,,,,,f
1934,9,,no participo,,,,,,,,,f
1938,9,,no participo,,,,,,,,,f
1950,9,,no participo,,,,,,,,,f
1954,9,,no participo,,,,,,,,,f
1958,9,,no participo,,,,,,,,,f
1962,9,,no participo,,,,,,,,,f
1966,9,,no participo,,,,,,,,,f
1970,9,,no participo,,,,,,,,,f
1974,9,,no participo,,,,,,,,,f
1978,9,,no participo,,,,,,,,,f
1982,9,,no participo,,,,,,,,,f
1986,9,,no participo,,,,,,,,,f
1990,9,,no participo,,,,,,,,,f
1994,9,,no participo,,,,,,,,,f
1998,9,,no participo,,,,,,,,,f
2002,9,,no participo,,,,,,,,,f
2006,9,,no participo,,,,,,,,,f
2010,9,,no participo,,,,,,,,,f
2014,9,20,Grupos 1ra Ronda,3,3,1,0,2,4,4,0,t
2018,9,,no participo,,,,,,,,,f
2022,9,,no participo,,,,,,,,,f
2026,9,,,,,,,,,,,t
1930,10,6,Grupos 1ra Ronda,2,2,1,0,1,5,2,3,t
1934,10,14,Octavos de Final,0,1,0,0,1,1,3,-2,t
1938,10,3,Partido 3er Puesto,7,5,3,1,1,14,11,3,t
1950,10,2,Ronda Final,9,6,4,1,1,22,6,16,t
1954,10,6,Cuartos de Final,3,3,1,1,1,8,5,3,t
1958,10,1,Final,11,6,5,1,0,16,4,12,t
1962,10,1,Final,11,6,5,1,0,14,5,9,t
1966,10,11,Grupos 1ra Ronda,2,3,1,0,2,4,6,-2,t
1970,10,1,Final,12,6,6,0,0,19,7,12,t
1974,10,4,Partido 3er Puesto,8,7,3,2,2,6,4,2,t
1978,10,3,Partido 3er Puesto,11,7,4,3,0,10,3,7,t
1982,10,5,Grupos 2da Ronda,8,5,4,0,1,15,6,9,t
1986,10,5,Cuartos de Final,9,5,4,1,0,10,1,9,t
1990,10,9,Octavos de Final,6,4,3,0,1,4,2,2,t
1994,10,1,Final,17,7,5,2,0,11,3,8,t
1998,10,2,Final,13,7,4,1,2,14,10,4,t
2002,10,1,Final,21,7,7,0,0,18,4,14,t
2006,10,5,Cuartos de Final,12,5,4,0,1,10,2,8,t
