penal_id,partido_id,seleccion_id,orden,jugador_id,resultado
293,599,12,3,2848,gol
294,599,35,3,2552,gol
295,599,12,4,795,gol
296,599,35,4,838,gol
297,599,12,5,2849,gol
298,599,35,5,2590,gol
299,653,1,1,2850,gol
300,653,37,1,953,gol
301,653,1,2,961,gol
302,653,37,2,873,gol
303,653,1,3,2666,atajado
304,653,37,3,849,gol
305,653,1,4,784,gol
306,653,37,4,919,atajado
307,653,1,5,875,gol
308,653,37,5,868,gol
309,653,1,6,943,gol
310,653,37,6,921,atajado
