jugador_id,nombre,nombre_completo,fecha_nacimiento,lugar_nacimiento,altura,apodo,sitio_web,redes_sociales
113,Ismaïla Sarr,,25-Feb-1998,,"1.75 m / 5' 9""",,,
114,Moisés Caicedo,,02-Nov-2001,,"1.78 m / 5' 10""",,,
115,Kalidou Koulibaly,,20-Jun-1991,,"1.95 m / 6' 5""",,,
116,Phil Foden,,28-May-2000,,"1.71 m / 5' 7""",,,
117,Christian Pulisic,,18-Sep-1998,,"1.78 m / 5' 10""",,,
118,Mathew Leckie,,04-Feb-1991,,"1.81 m / 5' 11""",,,
119,Wahbi Khazri,,08-Feb-1991,,"1.82 m / 5' 12""",,,
120,Henry Martin,,18-Nov-1992,,"1.80 m / 5' 11""",,,
121,Luis Chávez,,15-Ene-1996,,"1.78 m / 5' 10""",,,
122,Alexis Mac Allister,,24-Dic-1998,,"1.76 m / 5' 9""",,,
123,Julian Alvarez,,31-Ene-2000,,"1.70 m / 5' 7""",,,
124,Hakim Ziyech,,19-Mar-1993,,"1.81 m / 5' 11""",,,
125,Youssef En-Nesyri,,01-Jun-1997,,"1.88 m / 6' 2""",,,
126,Nayef Aguerd (en contra),,,,,,,
127,Ao Tanaka,,10-Sep-1998,,"1.80 m / 5' 11""",,,
128,Serge Gnabry,,14-Jul-1995,,"1.76 m / 5' 9""",,,
129,Yeltsin Tejeda,,17-Mar-1992,,"1.79 m / 5' 10""",,,
130,Juan Pablo Vargas,,06-Jun-1995,,"1.92 m / 6' 4""",,,
131,Kai Havertz,,11-Jun-1999,,"1.90 m / 6' 3""",,,
132,Giorgian De Arrascaeta,,01-Jun-1994,,"1.77 m / 5' 10""",,,
133,Ricardo Horta,,15-Sep-1994,,"1.73 m / 5' 8""",,,
134,Young-Gwon Kim,,27-Feb-1990,,"1.86 m / 6' 1""",,,
135,Hee-chan Hwang,,26-Ene-1996,,"1.77 m / 5' 10""",,,
136,Xherdan Shaqiri,,10-Oct-1991,,"1.69 m / 5' 7""",,,
137,Dusan Vlahovic,,28-Ene-2000,,"1.90 m / 6' 3""",,,
138,Remo Freuler,,15-Apr-1992,,"1.81 m / 5' 11""",,,
139,Memphis Depay,,13-Feb-1994,,"1.78 m / 5' 10""",,,
140,Daley Blind,,09-Mar-1990,,"1.80 m / 5' 11""",,,
141,Haji Wright,,27-Mar-1998,,"1.91 m / 6' 3""",,,
142,Denzel Dumfries,,18-Apr-1996,,"1.88 m / 6' 2""",,,
143,Enzo Fernandez (en contra),,,,,,,
144,Jordan Henderson,,17-Jun-1990,,"1.83 m / 6' 0""",,,
145,Daizen Maeda,,20-Oct-1997,,"1.76 m / 5' 9""",,,
146,Ivan Perisic,,02-Feb-1989,,"1.87 m / 6' 2""",,,
147,Vinicius Junior,,12-Jul-2000,,"1.76 m / 5' 9""",,,
148,Lucas Paqueta,,27-Ago-1997,,"1.80 m / 5' 11""",,,
149,Seung-ho Paik,,17-Mar-1997,,"1.82 m / 5' 12""",,,
150,Gonçalo Ramos,,20-Jun-2001,,"1.85 m / 6' 1""",,,
