anio,grupo,posicion,seleccion,pts,pj,pg,pe,pp,gf,gc,dif,clasificado
2022,B,4,Gales,1,3,0,1,2,1,6,-5,False
2022,C,1,Argentina,6,3,2,0,1,5,2,3,True
2022,C,2,Polonia,4,3,1,1,1,2,2,0,True
2022,C,3,México,4,3,1,1,1,2,3,-1,False
2022,C,4,Arabia Saudita,3,3,1,0,2,3,5,-2,False
2022,D,1,Francia,6,3,2,0,1,6,3,3,True
2022,D,2,Australia,6,3,2,0,1,3,4,-1,True
2022,D,3,Túnez,4,3,1,1,1,1,1,0,False
2022,D,4,Dinamarca,1,3,0,1,2,1,3,-2,False
2022,E,1,Japón,6,3,2,0,1,4,3,1,True
2022,E,2,España,4,3,1,1,1,9,3,6,True
2022,E,3,Alemania,4,3,1,1,1,6,5,1,False
2022,E,4,Costa Rica,3,3,1,0,2,3,11,-8,False
2022,F,1,Marruecos,7,3,2,1,0,4,1,3,True
2022,F,2,Croacia,5,3,1,2,0,4,1,3,True
2022,F,3,Bélgica,4,3,1,1,1,1,2,-1,False
2022,F,4,Canadá,0,3,0,0,3,2,7,-5,False
2022,G,1,Brasil,6,3,2,0,1,3,1,2,True
2022,G,2,Suiza,6,3,2,0,1,4,3,1,True
2022,G,3,Camerún,4,3,1,1,1,4,4,0,False
2022,G,4,Serbia,1,3,0,1,2,5,8,-3,False
2022,H,1,Portugal,6,3,2,0,1,6,4,2,True
2022,H,2,Corea del Sur,4,3,1,1,1,4,4,0,True
2022,H,3,Uruguay,4,3,1,1,1,2,2,0,False
2022,H,4,Ghana,3,3,1,0,2,5,7,-2,False
2018,A,1,Uruguay,9,3,3,0,0,5,0,5,True
2018,A,2,Rusia,6,3,2,0,1,8,4,4,True
2018,A,3,Arabia Saudita,3,3,1,0,2,2,7,-5,False
2018,A,4,Egipto,0,3,0,0,3,2,6,-4,False
2018,B,1,España,5,3,1,2,0,6,5,1,True
2018,B,2,Portugal,5,3,1,2,0,5,4,1,True
2018,B,3,Irán,4,3,1,1,1,2,2,0,False
2018,B,4,Marruecos,1,3,0,1,2,2,4,-2,False
2018,C,1,Francia,7,3,2,1,0,3,1,2,True
2018,C,2,Dinamarca,5,3,1,2,0,2,1,1,True
2018,C,3,Perú,3,3,1,0,2,2,2,0,False
2018,C,4,Australia,1,3,0,1,2,2,5,-3,False
2018,D,1,Croacia,9,3,3,0,0,7,1,6,True
2018,D,2,Argentina,4,3,1,1,1,3,5,-2,True
2018,D,3,Nigeria,3,3,1,0,2,3,4,-1,False
2018,D,4,Islandia,1,3,0,1,2,2,5,-3,False
2018,E,1,Brasil,7,3,2,1,0,5,1,4,True
2018,E,2,Suiza,5,3,1,2,0,5,4,1,True
2018,E,3,Serbia,3,3,1,0,2,2,4,-2,False
2018,E,4,Costa Rica,1,3,0,1,2,2,5,-3,False
2018,F,1,Suecia,6,3,2,0,1,5,2,3,True
2018,F,2,México,6,3,2,0,1,3,4,-1,True
2018,F,3,Corea del Sur,3,3,1,0,2,3,3,0,False
2018,F,4,Alemania,3,3,1,0,2,2,4,-2,False
2018,G,1,Bélgica,9,3,3,0,0,9,2,7,True
2018,G,2,Inglaterra,6,3,2,0,1,8,3,5,True
2018,G,3,Túnez,3,3,1,0,2,5,8,-3,False
2018,G,4,Panamá,0,3,0,0,3,2,11,-9,False
2018,H,1,Colombia,6,3,2,0,1,5,2,3,True
2018,H,2,Japón,4,3,1,1,1,4,4,0,True
2018,H,3,Senegal,4,3,1,1,1,4,4,0,False
2018,H,4,Polonia,3,3,1,0,2,2,5,-3,False
2014,A,1,Brasil,7,3,2,1,0,7,2,5,True
2014,A,2,México,7,3,2,1,0,4,1,3,True
2014,A,3,Croacia,3,3,1,0,2,6,6,0,False
2014,A,4,Camerún,0,3,0,0,3,1,9,-8,False
2014,B,1,Paises Bajos,9,3,3,0,0,10,3,7,True
2014,B,2,Chile,6,3,2,0,1,5,3,2,True
2014,B,3,España,3,3,1,0,2,4,7,-3,False
2014,B,4,Australia,0,3,0,0,3,3,9,-6,False
2014,C,1,Colombia,9,3,3,0,0,9,2,7,True
2014,C,2,Grecia,4,3,1,1,1,2,4,-2,True
2014,C,3,Costa de Marfil,3,3,1,0,2,4,5,-1,False
2014,C,4,Japón,1,3,0,1,2,2,6,-4,False
2014,D,1,Costa Rica,7,3,2,1,0,4,1,3,True
2014,D,2,Uruguay,6,3,2,0,1,4,4,0,True
2014,D,3,Italia,3,3,1,0,2,2,3,-1,False
2014,D,4,Inglaterra,1,3,0,1,2,2,4,-2,False
2014,E,1,Francia,7,3,2,1,0,8,2,6,True
2014,E,2,Suiza,6,3,2,0,1,7,6,1,True
2014,E,3,Ecuador,4,3,1,1,1,3,3,0,False
