cambio_id,partido_id,seleccion_id,jugador_sale_id,jugador_entra_id,minuto
1390,212,5,322,1774,82
1391,212,21,1618,1773,46
1392,212,21,373,3916,81
1393,213,1,15,3976,70
1394,213,1,320,332,70
1395,213,1,3975,3481,77
1396,213,126,1782,3995,70
1397,213,126,1713,3997,75
1398,213,126,349,3991,79
1399,214,34,351,3965,74
1400,214,34,350,1776,87
1401,214,34,3965,1707,90+4
1402,214,36,1704,3946,46
1403,214,36,3944,3945,46
1404,214,36,1840,3947,80
1405,215,46,3932,3933,63
1406,215,46,557,377,74
1407,215,46,3936,1830,84
1408,215,4,3960,3961,74
1409,215,4,3951,3954,81
1410,215,4,1708,1670,88
1411,216,39,1714,4000,56
1412,216,39,3794,394,77
1413,216,39,389,4004,87
1414,216,6,3590,3983,66
1415,216,6,354,3988,68
1416,216,6,1781,3985,84
1417,217,115,1792,4007,72
1418,217,115,314,4006,83
1419,217,115,243,315,88
1420,217,55,1810,414,64
1421,217,55,3635,456,77
1422,217,55,1543,302,77
1423,218,14,1640,3561,46
1424,218,14,1749,4034,72
1425,218,14,3555,93,78
1426,218,27,646,4022,46
1427,218,27,4017,4015,67
1428,218,27,383,4023,86
1429,219,33,1752,4079,70
1430,219,33,4082,4078,83
1431,219,117,1829,4049,68
1432,219,117,2653,2655,82
1433,219,117,358,2652,88
1434,220,53,1787,1719,46
1435,220,53,427,379,46
1436,220,53,258,4046,61
1437,220,114,1754,4063,63
1438,220,114,4058,4062,81
1439,220,114,4061,4068,90+3
1440,221,10,340,10,67
1441,221,10,393,1620,90+3
1442,221,23,446,254,54
1443,221,23,386,1920,68
1444,221,23,1833,385,72
1445,222,120,364,3784,70
1446,222,120,365,1793,74
1447,222,120,366,368,77
1448,222,20,4109,4113,58
1449,222,20,4110,4119,58
1450,222,20,4106,4115,75
1451,223,17,1760,247,46
1452,223,17,1625,369,46
1453,223,17,1724,3585,65
1454,223,129,431,432,42
1455,223,129,1761,4143,68
1456,223,129,342,4149,77
1457,224,35,1825,3563,66
1458,224,35,299,300,70
1459,224,35,1643,4140,77
1460,224,42,3709,4129,46
1461,224,42,1765,4125,63
1462,224,42,1798,1655,84
1463,225,111,297,3870,46
1464,225,111,1370,1768,57
1465,225,111,34,35,63
1466,225,135,343,2656,77
1467,225,135,175,3876,85
1468,226,37,3881,372,46
1469,226,37,3888,430,55
1470,226,37,3887,3879,82
1471,226,127,3859,3852,55
1472,226,127,3856,514,68
1473,226,127,3865,3854,78
1474,227,112,3766,3903,46
1475,227,112,3905,3900,57
1476,227,112,374,3899,70
1477,227,21,1737,1773,64
1478,227,21,1618,3909,87
1479,227,21,373,1897,90+3
1480,228,40,3612,3925,46
1481,228,40,1628,3928,54
1482,228,40,346,3921,55
1483,228,5,422,150,63
1484,228,5,161,3894,77
1485,228,5,3890,376,80
1486,229,34,351,1776,62
1487,229,34,1742,3974,79
1488,229,46,275,439,72
1489,229,46,377,557,86
1490,230,36,3947,3946,46
1491,230,36,3945,3939,64
1492,230,36,3942,1779,80
1493,230,4,3953,1706,65
1494,230,4,3951,3954,69
1495,230,4,3950,3955,85
1496,231,39,1714,394,64
1497,231,39,283,4004,82
1498,231,39,66,2657,90+2
1499,231,1,15,3980,67
1500,231,1,1535,399,73
1501,231,1,475,183,81
1502,232,6,1710,354,66
1503,232,6,3590,3983,66
1504,232,6,1781,3984,82
1505,232,126,3990,3996,62
1506,232,126,444,378,67
1507,232,126,1713,3991,77
1508,233,33,1721,380,87
1509,233,33,337,1752,90+2
1510,233,33,4077,4083,90+4
1511,233,53,4039,4043,46
1512,233,53,1930,381,46
1513,233,53,4040,411,56
1514,234,117,2655,2653,66
1515,234,117,1829,4055,67
1516,234,114,1754,4063,69
1517,234,114,4061,4072,79
1518,235,27,646,4023,34
1519,235,27,1790,4024,56
1520,235,27,4015,176,63
1521,235,55,1810,302,74
1522,235,55,3635,1646,88
1523,235,55,382,523,90+1
1524,236,14,4037,93,56
1525,236,14,94,4034,72
1526,236,14,1420,2051,73
1527,236,115,243,315,59
1528,236,115,334,4007,66
1529,236,115,1792,244,73
1530,237,120,1793,365,54
1531,237,120,24,1758,64
1532,237,120,364,3784,84
1533,237,10,1794,4101,44
1534,237,10,4102,1620,82
1535,237,10,362,4104,85
1536,238,20,4110,4118,67
1537,238,23,254,446,64
1538,238,23,1920,386,64
1539,238,23,385,4094,79
1540,239,17,247,3585,46
1541,239,17,369,388,46
1542,239,17,246,3584,65
1543,239,35,299,3563,55
1544,239,35,242,3565,73
1545,240,129,342,1728,46
1546,240,129,1761,431,69
1547,240,129,4142,124,78
1548,240,42,4125,4130,67
1549,240,42,1655,4129,78
1550,240,42,1798,1765,87
1551,241,135,32,1695,46
1552,241,135,343,1696,74
1553,241,135,175,3876,84
1554,241,21,3909,3916,61
1555,241,21,1618,1737,85
1556,242,36,1803,3945,31
1557,242,36,1704,3946,46
1558,242,36,1777,3947,91
1559,242,39,1817,1745,73
1560,242,39,389,455,78
1561,242,39,3798,394,113
1562,243,1,6,3481,72
1563,243,1,15,3980,72
1564,243,1,320,3981,83
1565,243,46,1700,439,64
1566,243,46,377,557,71
1567,243,46,1775,3933,87
1568,244,5,391,2220,69
1569,244,5,150,1698,79
1570,244,5,422,3894,87
1571,244,111,3871,3870,46
1572,244,111,297,1731,61
1573,245,115,244,4007,71
1574,245,115,243,315,80
1575,245,115,314,4006,92
1576,245,33,4077,380,71
1577,245,33,4076,4085,87
1578,245,33,4075,4086,88
1579,246,10,362,4098,76
1580,246,10,416,4103,81
1581,246,10,393,458,85
1582,246,17,369,247,46
1583,246,17,4134,4137,46
1584,246,17,3577,388,62
1585,247,117,4055,1829,60
1586,247,117,4054,2652,75
1587,247,117,489,2655,94
1588,247,55,1810,302,65
1589,247,55,1717,4030,81
1590,247,55,3635,456,106
1591,248,35,299,4141,58
1592,248,35,298,2629,88
1593,248,35,242,1944,90+3
1594,248,120,366,4095,58
1595,248,120,365,368,72
1596,248,120,24,1758,72
1597,249,115,243,315,85
1598,249,10,1813,458,62
1599,249,10,362,4098,77
1600,250,135,1604,2656,38
1601,250,135,3876,1696,46
1602,250,135,36,2006,76
1603,250,39,3798,455,74
1604,250,39,394,2657,88
1605,251,5,1480,3894,70
1606,251,5,150,161,75
1607,251,1,1535,399,72
1608,251,1,323,183,77
1609,251,1,15,3980,84
1610,252,117,2652,358,64
1611,252,117,1829,489,72
1612,252,117,1718,2653,84
1613,252,35,299,3563,56
1614,252,35,242,2629,75
1615,252,35,398,1944,84
1616,253,135,343,2006,78
1617,253,135,40,3877,84
1618,253,115,4005,1792,46
1619,253,115,244,4007,89
1620,254,1,1535,399,52
1621,254,1,3980,183,62
1622,254,1,323,3481,81
