penal_id,partido_id,seleccion_id,orden,jugador_id,resultado
218,500,10,2,668,gol
219,500,53,2,2308,gol
220,500,10,3,715,gol
221,500,53,3,2673,gol
222,500,10,4,2343,gol
223,500,53,4,700,atajado
224,500,53,5,574,desviado
225,541,48,1,731,gol
226,541,123,1,661,gol
227,541,48,2,659,gol
228,541,123,2,2414,gol
229,541,48,3,2674,gol
230,541,123,3,2675,gol
231,541,48,4,2676,gol
232,541,123,4,2270,gol
233,541,48,5,2677,gol
234,541,123,5,2678,atajado
235,545,5,1,2383,gol
236,545,137,1,609,travesaño
237,545,5,2,817,gol
238,545,137,2,586,gol
239,545,5,3,9,atajado
240,545,137,3,2679,gol
241,545,5,4,2424,poste
242,545,137,4,2387,atajado
243,545,5,5,2680,gol
244,545,137,5,2681,atajado
245,549,53,1,2672,gol
246,549,5,1,2383,gol
247,549,53,2,574,gol
248,549,5,2,817,gol
249,549,53,3,2426,gol
250,549,5,3,2423,gol
251,549,53,4,2682,atajado
252,549,5,4,9,gol
253,549,53,5,774,atajado
254,550,46,1,730,gol
255,550,1,1,772,gol
256,550,46,2,835,gol
257,550,1,2,19,gol
258,550,46,3,775,gol
259,550,1,3,699,gol
260,550,46,4,2430,atajado
261,550,1,4,2683,gol
262,550,46,5,2684,desviado
263,598,10,1,779,atajado
264,598,37,1,811,gol
265,598,10,2,2685,gol
266,598,37,2,839,gol
267,598,10,3,871,gol
268,598,37,3,2686,gol
269,598,10,4,715,gol
270,598,37,4,834,desviado
271,598,10,5,1685,poste
272,598,37,5,800,gol
273,599,12,1,807,gol
274,599,35,1,836,gol
275,599,12,2,744,gol
276,599,35,2,826,atajado
277,599,12,3,2687,gol
278,599,35,3,2421,gol
279,599,12,4,765,gol
280,599,35,4,805,gol
281,599,12,5,2688,gol
282,599,35,5,2460,gol
283,653,1,1,2689,gol
284,653,37,1,916,gol
285,653,1,2,925,gol
286,653,37,2,839,gol
287,653,1,3,2526,atajado
288,653,37,3,813,gol
289,653,1,4,754,gol
290,653,37,4,884,atajado
291,653,1,5,841,gol
292,653,37,5,834,gol
293,653,1,6,908,gol
294,653,37,6,886,atajado
