anio,seleccion,seleccion_slug,jugador,jugador_slug,posicion,camiseta,fecha_nacimiento,altura,club,rol
1994,Alemania,alemania,Thomas Helmer,thomas_helmer,DF,5,21-Apr-1965,,21-Apr-1965,jugador
1994,Alemania,alemania,Guido Buchwald,guido_buchwald,DF,6,24-Ene-1961,,24-Ene-1961,jugador
1994,Alemania,alemania,Thomas Berthold,thomas_berthold,DF,14,12-Nov-1964,,12-Nov-1964,jugador
1994,Alemania,alemania,Martin Wagner,martin_wagner,DF,17,24-Feb-1968,,24-Feb-1968,jugador
1994,Alemania,alemania,Thomas Strunz,thomas_strunz,MC,2,25-Apr-1968,,25-Apr-1968,jugador
1994,Alemania,alemania,Andreas Moeller,andreas_moeller,MC,7,02-Sep-1967,,02-Sep-1967,jugador
1994,Alemania,alemania,Thomas Haessler,thomas_haessler,MC,8,30-May-1966,,30-May-1966,jugador
1994,Alemania,alemania,Lothar Matthaeus,lothar_matthaeus,MC,10,21-Mar-1961,,21-Mar-1961,jugador
1994,Alemania,alemania,Maurizio Gaudino,maurizio_gaudino,MC,15,12-Dic-1966,,12-Dic-1966,jugador
1994,Alemania,alemania,Matthias Sammer,matthias_sammer,MC,16,05-Sep-1967,,05-Sep-1967,jugador
1994,Alemania,alemania,Stefan Effenberg,stefan_effenberg,MC,20,02-Ago-1968,,02-Ago-1968,jugador
1994,Alemania,alemania,Mario Basler,mario_basler,MC,21,18-Dic-1968,,18-Dic-1968,jugador
1994,Alemania,alemania,Karlheinz Riedle,karlheinz_riedle,DL,9,16-Sep-1965,,16-Sep-1965,jugador
1994,Alemania,alemania,Stefan Kuntz,stefan_kuntz,DL,11,30-Oct-1962,,30-Oct-1962,jugador
1994,Alemania,alemania,Rudi Voeller,rudi_voeller,DL,13,13-Apr-1960,,13-Apr-1960,jugador
1994,Alemania,alemania,Juergen Klinsmann,juergen_klinsmann,DL,18,30-Jul-1964,,30-Jul-1964,jugador
1994,Alemania,alemania,Ulf Kirsten,ulf_kirsten,DL,19,04-Dic-1965,,04-Dic-1965,jugador
1994,Alemania,alemania,Berti Vogts,,DT,,,,,entrenador
1994,Brasil,brasil,Taffarel,taffarel,AR,1,08-May-1966,,08-May-1966,jugador
1994,Brasil,brasil,Zetti,zetti,AR,12,10-Ene-1965,,10-Ene-1965,jugador
1994,Brasil,brasil,Gilmar Rinaldi,gilmar_rinaldi,AR,22,13-Ene-1959,,13-Ene-1959,jugador
1994,Brasil,brasil,Jorginho,jorginho,DF,2,17-Ago-1964,,17-Ago-1964,jugador
1994,Brasil,brasil,Ricardo Rocha,ricardo_rocha,DF,3,11-Sep-1962,,11-Sep-1962,jugador
1994,Brasil,brasil,Ronaldao,ronaldao,DF,4,19-Jun-1965,,19-Jun-1965,jugador
1994,Brasil,brasil,Branco,branco,DF,6,04-Apr-1964,,04-Apr-1964,jugador
1994,Brasil,brasil,Aldair,aldair,DF,13,30-Nov-1965,,30-Nov-1965,jugador
1994,Brasil,brasil,Cafu,cafu,DF,14,07-Jun-1970,"1.76 m / 5' 9""","07-Jun-1970 1.76 m / 5' 9""",jugador
1994,Brasil,brasil,Marcio Santos,marcio_santos,DF,15,15-Sep-1969,,15-Sep-1969,jugador
1994,Brasil,brasil,Mauro Silva,mauro_silva,MC,5,12-Ene-1968,"1.80 m / 5' 10""","12-Ene-1968 1.80 m / 5' 10""",jugador
1994,Brasil,brasil,Dunga,dunga,MC,8,31-Oct-1963,,31-Oct-1963,jugador
1994,Brasil,brasil,Zinho,zinho,MC,9,17-Jun-1967,,17-Jun-1967,jugador
1994,Brasil,brasil,Rai,rai,MC,10,15-May-1965,,15-May-1965,jugador
1994,Brasil,brasil,Leonardo,leonardo,MC,16,05-Sep-1969,,05-Sep-1969,jugador
1994,Brasil,brasil,Mazinho,mazinho,MC,17,08-Apr-1966,,08-Apr-1966,jugador
1994,Brasil,brasil,Bebeto,bebeto,DL,7,16-Feb-1964,,16-Feb-1964,jugador
1994,Brasil,brasil,Romario,romario,DL,11,29-Ene-1966,"1.69 m / 5' 6""","29-Ene-1966 1.69 m / 5' 6""",jugador
1994,Brasil,brasil,Paulo Sergio,paulo_sergio,DL,18,02-Jun-1969,,02-Jun-1969,jugador
1994,Brasil,brasil,Muller,muller,DL,19,31-Ene-1966,,31-Ene-1966,jugador
1994,Brasil,brasil,Ronaldo,ronaldo,DL,20,22-Sep-1976,"1.83 m / 6' 0""","22-Sep-1976 1.83 m / 6' 0""",jugador
1994,Brasil,brasil,Viola,viola,DL,21,01-Ene-1969,,01-Ene-1969,jugador
1994,Brasil,brasil,Carlos Alberto Parreira,,DT,,,,,entrenador
1994,Colombia,colombia,Oscar Cordoba,oscar_cordoba,AR,1,03-Feb-1970,"1.86 m / 6' 1""","03-Feb-1970 1.86 m / 6' 1""",jugador
1994,Colombia,colombia,Farid Mondragon,farid_mondragon,AR,12,21-Jun-1971,"1.88 m / 6' 2""","21-Jun-1971 1.88 m / 6' 2""",jugador
1994,Colombia,colombia,Jose Pazo,jose_pazo,AR,22,04-Apr-1964,,04-Apr-1964,jugador
1994,Colombia,colombia,Andres Escobar,andres_escobar,DF,2,13-Mar-1967,,13-Mar-1967,jugador
1994,Colombia,colombia,Alexis Mendoza,alexis_mendoza,DF,3,08-Nov-1961,,08-Nov-1961,jugador
1994,Colombia,colombia,Luis Herrera,luis_herrera,DF,4,12-Jun-1962,,12-Jun-1962,jugador
1994,Colombia,colombia,Nestor Ortiz,nestor_ortiz,DF,13,26-Sep-1968,,26-Sep-1968,jugador
1994,Colombia,colombia,Luis Carlos Perea,luis_carlos_perea,DF,15,29-Dic-1963,,29-Dic-1963,jugador
1994,Colombia,colombia,Oscar Cortes,oscar_cortes,DF,18,19-Oct-1968,,19-Oct-1968,jugador
1994,Colombia,colombia,Wilson Perez,wilson_perez,DF,20,09-Ago-1967,,09-Ago-1967,jugador
1994,Colombia,colombia,Herman Gaviria,herman_gaviria,MC,5,27-Nov-1969,,27-Nov-1969,jugador
1994,Colombia,colombia,Gabriel Gomez,gabriel_gomez,MC,6,08-Dic-1959,,08-Dic-1959,jugador
1994,Colombia,colombia,John Lozano,john_lozano,MC,8,30-Mar-1972,"1.90 m / 6' 2""","30-Mar-1972 1.90 m / 6' 2""",jugador
1994,Colombia,colombia,Carlos Valderrama,carlos_valderrama,MC,10,02-Sep-1961,"1.75 m / 5' 9""","02-Sep-1961 1.75 m / 5' 9""",jugador
1994,Colombia,colombia,Leonel Alvarez,leonel_alvarez,MC,14,30-Jul-1965,,30-Jul-1965,jugador
1994,Colombia,colombia,Mauricio Serna,mauricio_serna,MC,17,22-Ene-1968,,22-Ene-1968,jugador
1994,Colombia,colombia,Freddy Rincon,freddy_rincon,MC,19,14-Ago-1966,,14-Ago-1966,jugador
