tarjeta_id,partido_id,seleccion_id,jugador_id,tipo,minuto
2030,530,36,2368,amarilla,28
2031,530,7,2393,amarilla,31
2032,530,36,761,amarilla,42
2033,530,7,2394,amarilla,50
2034,530,36,2395,amarilla,58
2035,530,7,2396,amarilla,84
2036,530,7,2397,roja,90
2037,530,7,2398,amarilla,90
2038,532,76,742,amarilla,18
2039,532,22,2375,amarilla,28
2040,532,22,2399,amarilla,53
2041,532,76,2288,amarilla,74
2042,534,21,2400,amarilla,22
2043,534,83,2401,amarilla,23
2044,534,83,2402,amarilla,44
2045,534,21,2403,amarilla,62
2046,534,21,2382,roja,70
2047,536,63,2291,amarilla,43
2048,537,14,2309,amarilla,44
2049,537,14,2352,amarilla,46
2050,537,14,2256,amarilla,68
2051,537,19,2404,amarilla,72
2052,537,19,2385,amarilla,73
2053,537,14,2370,amarilla,117
2054,538,22,770,amarilla,5
2055,538,70,723,amarilla,53
2056,538,70,2405,amarilla,56
2057,538,70,2406,amarilla,67
2058,538,22,2399,amarilla,75
2059,539,5,749,amarilla,27
2060,539,5,2407,amarilla,28
2061,539,10,2408,amarilla,40
2062,539,10,2409,amarilla,50
2063,539,10,2410,roja,85
2064,539,5,2411,amarilla,87
2065,540,63,2291,amarilla,20
2066,540,1,728,amarilla,21
2067,540,63,2291,roja,22
2068,540,1,728,roja,22
2069,540,63,2289,amarilla,32
2070,540,63,2412,amarilla,72
2071,540,1,19,amarilla,77
2072,541,48,683,amarilla,21
2073,541,48,2413,amarilla,107
2074,541,71,661,amarilla,112
2075,541,71,2414,amarilla,116
2076,542,83,2415,amarilla,15
2077,542,83,2416,amarilla,25
2078,542,83,2364,amarilla,34
2079,542,53,2391,amarilla,36
2080,542,83,2417,amarilla,61
2081,543,85,2418,amarilla,7
2082,543,85,2419,amarilla,59
2083,543,35,1269,amarilla,92
2084,543,85,2420,amarilla,98
2085,543,35,2421,amarilla,110
2086,544,46,2422,amarilla,87
2087,545,5,2383,amarilla,21
2088,545,85,2389,amarilla,24
2089,545,85,2389,roja,31
2090,545,5,2423,amarilla,42
2091,545,5,2424,amarilla,61
2092,545,5,2425,amarilla,110
2093,546,53,2426,amarilla,35
2094,546,48,2427,amarilla,42
2095,547,70,2428,amarilla,11
2096,547,70,722,amarilla,14
2097,547,1,633,amarilla,28
2098,547,70,2406,amarilla,38
2099,547,70,2428,roja,70
2100,547,70,2429,amarilla,88
2101,548,14,2351,amarilla,28
2102,548,46,2430,amarilla,70
2103,548,14,2372,amarilla,105
2104,548,14,702,amarilla,119
2105,549,53,735,amarilla,22
2106,549,5,2407,amarilla,30
2107,549,5,782,amarilla,70
2108,549,5,2423,amarilla,76
2109,549,5,690,amarilla,82
2110,549,5,2407,amarilla,103
2111,549,5,2384,amarilla,120
2112,550,46,2431,amarilla,65
2113,550,46,2422,amarilla,98
2114,550,1,772,amarilla,110
2115,553,53,2432,amarilla,48
2116,553,11,2433,amarilla,51
2117,553,53,2434,amarilla,64
2118,554,35,2435,amarilla,4
2119,554,10,715,amarilla,82
2120,556,21,816,amarilla,44
2121,556,21,783,amarilla,50
2122,558,58,2436,amarilla,33
2123,559,59,27,amarilla,23
2124,559,12,2437,amarilla,56
2125,559,59,2438,amarilla,83
2126,560,46,2439,amarilla,17
2127,560,46,2440,amarilla,78
2128,560,68,2441,amarilla,88
2129,561,4,2442,amarilla,36
2130,561,49,2443,amarilla,58
2131,561,49,2444,amarilla,78
2132,561,49,793,amarilla,79
2133,562,27,2445,amarilla,84
2134,563,83,2446,amarilla,28
2135,563,83,2447,amarilla,62
2136,564,47,2448,amarilla,29
2137,564,65,2449,amarilla,45
2138,565,72,799,amarilla,30
2139,565,72,786,amarilla,33
2140,565,37,800,amarilla,40
2141,565,37,839,amarilla,43
2142,566,21,2239,amarilla,31
2143,566,11,2450,amarilla,49
2144,566,21,2451,amarilla,60
2145,567,53,2432,amarilla,54
2146,567,5,2407,amarilla,58
2147,567,5,2452,amarilla,65
2148,570,46,2453,amarilla,40
2149,570,46,2453,roja,42
2150,570,58,2454,amarilla,50
2151,570,46,2455,amarilla,68
2152,570,58,821,amarilla,76
2153,571,65,2456,amarilla,5
2154,571,59,830,amarilla,26
2155,571,65,2449,amarilla,30
2156,571,59,27,amarilla,75
2157,571,59,2457,amarilla,80
2158,572,67,2458,amarilla,46
2159,572,67,2459,amarilla,89
2160,573,35,2460,amarilla,50
2161,573,49,910,amarilla,85
2162,574,47,2461,amarilla,1
2163,574,12,807,amarilla,16
2164,574,47,2462,amarilla,20
2165,574,47,2463,amarilla,29
2166,574,47,2464,amarilla,42
2167,574,47,2448,amarilla,48
2168,574,47,2461,amarilla,52
2169,574,47,2465,amarilla,65
2170,575,32,849,amarilla,30
2171,575,32,2466,amarilla,44
2172,575,32,2467,amarilla,74
2173,578,37,2468,amarilla,41
2174,578,37,813,amarilla,69
2175,579,21,2239,amarilla,17
2176,579,53,2469,amarilla,31
2177,579,21,2470,amarilla,35
2178,579,53,2471,amarilla,65
2179,579,53,2472,amarilla,70
2180,579,21,2451,amarilla,71
2181,580,5,2473,amarilla,25
2182,581,12,745,amarilla,55
2183,581,65,798,amarilla,55
2184,582,46,2439,amarilla,52
2185,583,68,2474,amarilla,64
2186,584,47,2475,amarilla,30
2187,584,47,2476,amarilla,73
2188,585,49,2477,amarilla,12
2189,586,4,857,amarilla,33
2190,586,35,654,amarilla,89
