anio,grupo,posicion,seleccion_id,pts,pj,pg,pe,pp,gf,gc,dif,clasificado
2002,G,4,28,3,3,1,0,2,2,4,-2,False
2002,H,1,55,7,3,2,1,0,5,2,3,True
2002,H,2,12,5,3,1,2,0,6,5,1,True
2002,H,3,124,3,3,1,0,2,4,4,0,False
2002,H,4,133,1,3,0,1,2,1,5,-4,False
1998,A,1,10,6,3,2,0,1,6,3,3,True
1998,A,2,113,5,3,1,2,0,5,4,1,True
1998,A,3,58,4,3,1,1,1,5,5,0,False
1998,A,4,32,1,3,0,1,2,2,6,-4,False
1998,B,1,53,7,3,2,1,0,7,3,4,True
1998,B,2,17,3,3,0,3,0,4,4,0,True
1998,B,3,7,2,3,0,2,1,3,4,-1,False
1998,B,4,14,2,3,0,2,1,2,5,-3,False
1998,C,1,37,9,3,3,0,0,9,1,8,True
1998,C,2,27,4,3,1,1,1,3,3,0,True
1998,C,3,127,2,3,0,2,1,3,6,-3,False
1998,C,4,3,1,3,0,1,2,2,7,-5,False
1998,D,1,112,6,3,2,0,1,5,5,0,True
1998,D,2,117,5,3,1,2,0,3,1,2,True
1998,D,3,35,4,3,1,1,1,8,4,4,False
1998,D,4,11,1,3,0,1,2,1,7,-6,False
1998,E,1,115,5,3,1,2,0,7,2,5,True
1998,E,2,111,5,3,1,2,0,7,5,2,True
1998,E,3,12,3,3,0,3,0,3,3,0,False
1998,E,4,21,1,3,0,1,2,2,9,-7,False
1998,F,1,1,7,3,2,1,0,6,2,4,True
1998,F,2,126,7,3,2,1,0,4,2,2,True
1998,F,3,50,3,3,1,0,2,2,4,-2,False
1998,F,4,36,0,3,0,0,3,1,5,-4,False
1998,G,1,123,7,3,2,1,0,4,2,2,True
1998,G,2,46,6,3,2,0,1,5,2,3,True
1998,G,3,19,3,3,1,0,2,1,3,-2,False
1998,G,4,133,1,3,0,1,2,1,4,-3,False
1998,H,1,5,9,3,3,0,0,7,0,7,True
1998,H,2,24,6,3,2,0,1,4,2,2,True
1998,H,3,54,3,3,1,0,2,3,9,-6,False
1998,H,4,55,0,3,0,0,3,1,4,-3,False
1994,A,1,123,6,3,2,0,1,5,5,0,True
1994,A,2,129,4,3,1,1,1,5,4,1,True
1994,A,3,36,4,3,1,1,1,3,3,0,True
1994,A,4,19,3,3,1,0,2,4,5,-1,False
1994,B,1,10,7,3,2,1,0,6,1,5,True
1994,B,2,128,5,3,1,2,0,6,4,2,True
1994,B,3,124,3,3,1,0,2,7,6,1,False
1994,B,4,14,1,3,0,1,2,3,11,-8,False
1994,C,1,1,7,3,2,1,0,5,3,2,True
1994,C,2,35,5,3,1,2,0,6,4,2,True
1994,C,3,21,2,3,0,2,1,4,5,-1,False
1994,C,4,8,1,3,0,1,2,1,4,-3,False
1994,D,1,112,6,3,2,0,1,6,2,4,True
1994,D,2,11,6,3,2,0,1,6,3,3,True
1994,D,3,5,6,3,2,0,1,6,3,3,True
1994,D,4,40,0,3,0,0,3,0,10,-10,False
1994,E,1,111,4,3,1,1,1,3,3,0,True
1994,E,2,48,4,3,1,1,1,2,2,0,True
1994,E,3,53,4,3,1,1,1,2,2,0,True
1994,E,4,113,4,3,1,1,1,1,1,0,False
1994,F,1,115,6,3,2,0,1,4,3,1,True
