anio,seleccion_id,posicion,etapa,pts,pj,pg,pe,pp,gf,gc,dif,participo
2018,6,30.0,Grupos 1ra Ronda,1.0,3.0,0.0,1.0,2.0,2.0,5.0,-3.0,True
2022,6,11.0,Octavos de Final,6.0,4.0,2.0,0.0,2.0,4.0,6.0,-2.0,True
2026,6,,clasificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1930,7,,no participó,,,,,,,,,False
1934,7,4.0,Partido 3er Puesto,4.0,4.0,2.0,0.0,2.0,7.0,7.0,0.0,True
1938,7,16.0,Octavos de Final,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1950,7,,no participó,,,,,,,,,False
1954,7,3.0,Partido 3er Puesto,8.0,5.0,4.0,0.0,1.0,17.0,12.0,5.0,True
1958,7,15.0,Grupos 1ra Ronda,1.0,3.0,0.0,1.0,2.0,2.0,7.0,-5.0,True
1962,7,,no participó,,,,,,,,,False
1966,7,,no participó,,,,,,,,,False
1970,7,,no participó,,,,,,,,,False
1974,7,,no participó,,,,,,,,,False
1978,7,7.0,Grupos 2da Ronda,6.0,6.0,3.0,0.0,3.0,7.0,10.0,-3.0,True
1982,7,8.0,Grupos 2da Ronda,5.0,5.0,2.0,1.0,2.0,5.0,4.0,1.0,True
1986,7,,no participó,,,,,,,,,False
1990,7,18.0,Grupos 1ra Ronda,2.0,3.0,1.0,0.0,2.0,2.0,3.0,-1.0,True
1994,7,,no participó,,,,,,,,,False
1998,7,23.0,Grupos 1ra Ronda,2.0,3.0,0.0,2.0,1.0,3.0,4.0,-1.0,True
2002,7,,no participó,,,,,,,,,False
2006,7,,no participó,,,,,,,,,False
2010,7,,no participó,,,,,,,,,False
2014,7,,no participó,,,,,,,,,False
2018,7,,no participó,,,,,,,,,False
2022,7,,no participó,,,,,,,,,False
2026,7,,clasificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1930,12,11.0,Grupos 1ra Ronda,0.0,2.0,0.0,0.0,2.0,0.0,4.0,-4.0,True
1934,12,15.0,Octavos de Final,0.0,1.0,0.0,0.0,1.0,2.0,5.0,-3.0,True
1938,12,13.0,Octavos de Final,0.0,1.0,0.0,0.0,1.0,1.0,3.0,-2.0,True
1950,12,,no participó,,,,,,,,,False
1954,12,12.0,Grupos 1ra Ronda,1.0,2.0,0.0,1.0,1.0,5.0,8.0,-3.0,True
1958,12,,no participó,,,,,,,,,False
1962,12,,no participó,,,,,,,,,False
1966,12,,no participó,,,,,,,,,False
1970,12,10.0,Grupos 1ra Ronda,2.0,3.0,1.0,0.0,2.0,4.0,5.0,-1.0,True
1974,12,,no participó,,,,,,,,,False
1978,12,,no participó,,,,,,,,,False
1982,12,10.0,Grupos 2da Ronda,5.0,5.0,2.0,1.0,2.0,3.0,5.0,-2.0,True
1986,12,4.0,Partido 3er Puesto,6.0,7.0,2.0,2.0,3.0,12.0,15.0,-3.0,True
1990,12,11.0,Octavos de Final,4.0,4.0,2.0,0.0,2.0,6.0,4.0,2.0,True
1994,12,11.0,Octavos de Final,6.0,4.0,2.0,0.0,2.0,4.0,4.0,0.0,True
1998,12,19.0,Grupos 1ra Ronda,3.0,3.0,0.0,3.0,0.0,3.0,3.0,0.0,True
2002,12,14.0,Octavos de Final,5.0,4.0,1.0,2.0,1.0,6.0,7.0,-1.0,True
2006,12,,no participó,,,,,,,,,False
2010,12,,no participó,,,,,,,,,False
2014,12,6.0,Cuartos de Final,12.0,5.0,4.0,0.0,1.0,6.0,3.0,3.0,True
2018,12,3.0,Partido 3er Puesto,18.0,7.0,6.0,0.0,1.0,16.0,6.0,10.0,True
2022,12,23.0,Grupos 1ra Ronda,4.0,3.0,1.0,1.0,1.0,1.0,2.0,-1.0,True
2026,12,,clasificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1930,9,,no participó,,,,,,,,,False
1934,9,,no participó,,,,,,,,,False
1938,9,,no participó,,,,,,,,,False
1950,9,,no participó,,,,,,,,,False
1954,9,,no participó,,,,,,,,,False
1958,9,,no participó,,,,,,,,,False
1962,9,,no participó,,,,,,,,,False
1966,9,,no participó,,,,,,,,,False
1970,9,,no participó,,,,,,,,,False
1974,9,,no participó,,,,,,,,,False
1978,9,,no participó,,,,,,,,,False
1982,9,,no participó,,,,,,,,,False
1986,9,,no participó,,,,,,,,,False
1990,9,,no participó,,,,,,,,,False
1994,9,,no participó,,,,,,,,,False
1998,9,,no participó,,,,,,,,,False
2002,9,,no participó,,,,,,,,,False
2006,9,,no participó,,,,,,,,,False
2010,9,,no participó,,,,,,,,,False
2014,9,20.0,Grupos 1ra Ronda,3.0,3.0,1.0,0.0,2.0,4.0,4.0,0.0,True
2018,9,,no participó,,,,,,,,,False
2022,9,,no participó,,,,,,,,,False
2026,9,,,,,,,,,,,True
1930,10,6.0,Grupos 1ra Ronda,2.0,2.0,1.0,0.0,1.0,5.0,2.0,3.0,True
1934,10,14.0,Octavos de Final,0.0,1.0,0.0,0.0,1.0,1.0,3.0,-2.0,True
1938,10,3.0,Partido 3er Puesto,7.0,5.0,3.0,1.0,1.0,14.0,11.0,3.0,True
1950,10,2.0,Ronda Final,9.0,6.0,4.0,1.0,1.0,22.0,6.0,16.0,True
1954,10,6.0,Cuartos de Final,3.0,3.0,1.0,1.0,1.0,8.0,5.0,3.0,True
1958,10,1.0,Final,11.0,6.0,5.0,1.0,0.0,16.0,4.0,12.0,True
1962,10,1.0,Final,11.0,6.0,5.0,1.0,0.0,14.0,5.0,9.0,True
1966,10,11.0,Grupos 1ra Ronda,2.0,3.0,1.0,0.0,2.0,4.0,6.0,-2.0,True
1970,10,1.0,Final,12.0,6.0,6.0,0.0,0.0,19.0,7.0,12.0,True
1974,10,4.0,Partido 3er Puesto,8.0,7.0,3.0,2.0,2.0,6.0,4.0,2.0,True
1978,10,3.0,Partido 3er Puesto,11.0,7.0,4.0,3.0,0.0,10.0,3.0,7.0,True
1982,10,5.0,Grupos 2da Ronda,8.0,5.0,4.0,0.0,1.0,15.0,6.0,9.0,True
1986,10,5.0,Cuartos de Final,9.0,5.0,4.0,1.0,0.0,10.0,1.0,9.0,True
1990,10,9.0,Octavos de Final,6.0,4.0,3.0,0.0,1.0,4.0,2.0,2.0,True
1994,10,1.0,Final,17.0,7.0,5.0,2.0,0.0,11.0,3.0,8.0,True
1998,10,2.0,Final,13.0,7.0,4.0,1.0,2.0,14.0,10.0,4.0,True
2002,10,1.0,Final,21.0,7.0,7.0,0.0,0.0,18.0,4.0,14.0,True
2006,10,5.0,Cuartos de Final,12.0,5.0,4.0,0.0,1.0,10.0,2.0,8.0,True
2010,10,6.0,Cuartos de Final,10.0,5.0,3.0,1.0,1.0,9.0,4.0,5.0,True
2014,10,4.0,Partido 3er Puesto,11.0,7.0,3.0,2.0,2.0,11.0,14.0,-3.0,True
2018,10,6.0,Cuartos de Final,10.0,5.0,3.0,1.0,1.0,8.0,3.0,5.0,True
2022,10,7.0,Cuartos de Final,10.0,5.0,3.0,1.0,1.0,8.0,3.0,5.0,True
2026,10,,clasificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1930,11,,no participó,,,,,,,,,False
1934,11,,no participó,,,,,,,,,False
1938,11,,no participó,,,,,,,,,False
1950,11,,no participó,,,,,,,,,False
1954,11,,no participó,,,,,,,,,False
1958,11,,no participó,,,,,,,,,False
1962,11,15.0,Grupos 1ra Ronda,1.0,3.0,0.0,1.0,2.0,1.0,7.0,-6.0,True
1966,11,15.0,Grupos 1ra Ronda,0.0,3.0,0.0,0.0,3.0,1.0,8.0,-7.0,True
1970,11,13.0,Grupos 1ra Ronda,1.0,3.0,0.0,1.0,2.0,5.0,9.0,-4.0,True
1974,11,12.0,Grupos 1ra Ronda,2.0,3.0,0.0,2.0,1.0,2.0,5.0,-3.0,True
1978,11,,no participó,,,,,,,,,False
1982,11,,no participó,,,,,,,,,False
1986,11,15.0,Octavos de Final,2.0,4.0,0.0,2.0,2.0,2.0,6.0,-4.0,True
1990,11,,no participó,,,,,,,,,False
1994,11,4.0,Partido 3er Puesto,10.0,7.0,3.0,1.0,3.0,10.0,11.0,-1.0,True
1998,11,29.0,Grupos 1ra Ronda,1.0,3.0,0.0,1.0,2.0,1.0,7.0,-6.0,True
2002,11,,no participó,,,,,,,,,False
2006,11,,no participó,,,,,,,,,False
2010,11,,no participó,,,,,,,,,False
2014,11,,no participó,,,,,,,,,False
2018,11,,no participó,,,,,,,,,False
2022,11,,no participó,,,,,,,,,False
2026,11,,no participó,,,,,,,,,False
1930,14,,no participó,,,,,,,,,False
1934,14,,no participó,,,,,,,,,False
1938,14,,no participó,,,,,,,,,False
1950,14,,no participó,,,,,,,,,False
1954,14,,no participó,,,,,,,,,False
1958,14,,no participó,,,,,,,,,False
1962,14,,no participó,,,,,,,,,False
1966,14,,no participó,,,,,,,,,False
1970,14,,no participó,,,,,,,,,False
1974,14,,no participó,,,,,,,,,False
1978,14,,no participó,,,,,,,,,False
1982,14,17.0,Grupos 1ra Ronda,3.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,True
1986,14,,no participó,,,,,,,,,False
1990,14,7.0,Cuartos de Final,6.0,5.0,3.0,0.0,2.0,7.0,9.0,-2.0,True
1994,14,22.0,Grupos 1ra Ronda,1.0,3.0,0.0,1.0,2.0,3.0,11.0,-8.0,True
1998,14,25.0,Grupos 1ra Ronda,2.0,3.0,0.0,2.0,1.0,2.0,5.0,-3.0,True
2002,14,20.0,Grupos 1ra Ronda,4.0,3.0,1.0,1.0,1.0,2.0,3.0,-1.0,True
2006,14,,no participó,,,,,,,,,False
2010,14,31.0,Grupos 1ra Ronda,0.0,3.0,0.0,0.0,3.0,2.0,5.0,-3.0,True
2014,14,32.0,Grupos 1ra Ronda,0.0,3.0,0.0,0.0,3.0,1.0,9.0,-8.0,True
2018,14,,no participó,,,,,,,,,False
2022,14,19.0,Grupos 1ra Ronda,4.0,3.0,1.0,1.0,1.0,4.0,4.0,0.0,True
2026,14,,no participó,,,,,,,,,False
1930,15,,no participó,,,,,,,,,False
1934,15,,no participó,,,,,,,,,False
1938,15,,no participó,,,,,,,,,False
1950,15,,no participó,,,,,,,,,False
1954,15,,no participó,,,,,,,,,False
1958,15,,no participó,,,,,,,,,False
1962,15,,no participó,,,,,,,,,False
1966,15,,no participó,,,,,,,,,False
1970,15,,no participó,,,,,,,,,False
1974,15,,no participó,,,,,,,,,False
1978,15,,no participó,,,,,,,,,False
1982,15,,no participó,,,,,,,,,False
1986,15,24.0,Grupos 1ra Ronda,0.0,3.0,0.0,0.0,3.0,0.0,5.0,-5.0,True
1990,15,,no participó,,,,,,,,,False
1994,15,,no participó,,,,,,,,,False
1998,15,,no participó,,,,,,,,,False
2002,15,,no participó,,,,,,,,,False
2006,15,,no participó,,,,,,,,,False
2010,15,,no participó,,,,,,,,,False
2014,15,,no participó,,,,,,,,,False
2018,15,,no participó,,,,,,,,,False
2022,15,31.0,Grupos 1ra Ronda,0.0,3.0,0.0,0.0,3.0,2.0,7.0,-5.0,True
2026,15,,clasificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1930,17,5.0,Grupos 1ra Ronda,4.0,3.0,2.0,0.0,1.0,5.0,3.0,2.0,True
1934,17,,no participó,,,,,,,,,False
1938,17,,no participó,,,,,,,,,False
1950,17,9.0,Grupos 1ra Ronda,2.0,3.0,1.0,0.0,2.0,5.0,6.0,-1.0,True
1954,17,,no participó,,,,,,,,,False
1958,17,,no participó,,,,,,,,,False
1962,17,3.0,Partido 3er Puesto,8.0,6.0,4.0,0.0,2.0,10.0,8.0,2.0,True
1966,17,13.0,Grupos 1ra Ronda,1.0,3.0,0.0,1.0,2.0,2.0,5.0,-3.0,True
1970,17,,no participó,,,,,,,,,False
1974,17,11.0,Grupos 1ra Ronda,2.0,3.0,0.0,2.0,1.0,1.0,2.0,-1.0,True
1978,17,,no participó,,,,,,,,,False
1982,17,22.0,Grupos 1ra Ronda,0.0,3.0,0.0,0.0,3.0,3.0,8.0,-5.0,True
1986,17,,no participó,,,,,,,,,False
1990,17,,no participó,,,,,,,,,False
1994,17,,no participó,,,,,,,,,False
1998,17,16.0,Octavos de Final,3.0,4.0,0.0,3.0,1.0,5.0,8.0,-3.0,True
2002,17,,no participó,,,,,,,,,False
2006,17,,no participó,,,,,,,,,False
2010,17,10.0,Octavos de Final,6.0,4.0,2.0,0.0,2.0,3.0,5.0,-2.0,True
2014,17,9.0,Octavos de Final,7.0,4.0,2.0,1.0,1.0,6.0,4.0,2.0,True
2018,17,,no participó,,,,,,,,,False
2022,17,,no participó,,,,,,,,,False
2026,17,,no participó,,,,,,,,,False
1930,18,,no participó,,,,,,,,,False
1934,18,,no participó,,,,,,,,,False
1938,18,,no participó,,,,,,,,,False
1950,18,,no participó,,,,,,,,,False
1954,18,,no participó,,,,,,,,,False
1958,18,,no participó,,,,,,,,,False
1962,18,,no participó,,,,,,,,,False
1966,18,,no participó,,,,,,,,,False
1970,18,,no participó,,,,,,,,,False
1974,18,,no participó,,,,,,,,,False
1978,18,,no participó,,,,,,,,,False
1982,18,,no participó,,,,,,,,,False
1986,18,,no participó,,,,,,,,,False
1990,18,,no participó,,,,,,,,,False
1994,18,,no participó,,,,,,,,,False
1998,18,,no participó,,,,,,,,,False
2002,18,31.0,Grupos 1ra Ronda,0.0,3.0,0.0,0.0,3.0,0.0,9.0,-9.0,True
2006,18,,no participó,,,,,,,,,False
2010,18,,no participó,,,,,,,,,False
2014,18,,no participó,,,,,,,,,False
2018,18,,no participó,,,,,,,,,False
2022,18,,no participó,,,,,,,,,False
2026,18,,no participó,,,,,,,,,False
1930,20,,no participó,,,,,,,,,False
1934,20,,no participó,,,,,,,,,False
1938,20,,no participó,,,,,,,,,False
1950,20,,no participó,,,,,,,,,False
1954,20,,no participó,,,,,,,,,False
1958,20,,no participó,,,,,,,,,False
1962,20,,no participó,,,,,,,,,False
1966,20,8.0,Cuartos de Final,3.0,4.0,1.0,1.0,2.0,5.0,9.0,-4.0,True
1970,20,,no participó,,,,,,,,,False
1974,20,,no participó,,,,,,,,,False
1978,20,,no participó,,,,,,,,,False
1982,20,,no participó,,,,,,,,,False
1986,20,,no participó,,,,,,,,,False
1990,20,,no participó,,,,,,,,,False
1994,20,,no participó,,,,,,,,,False
1998,20,,no participó,,,,,,,,,False
2002,20,,no participó,,,,,,,,,False
2006,20,,no participó,,,,,,,,,False
2010,20,32.0,Grupos 1ra Ronda,0.0,3.0,0.0,0.0,3.0,1.0,12.0,-11.0,True
2014,20,,no participó,,,,,,,,,False
2018,20,,no participó,,,,,,,,,False
2022,20,,no participó,,,,,,,,,False
2026,20,,no participó,,,,,,,,,False
1930,21,,no participó,,,,,,,,,False
1934,21,,no participó,,,,,,,,,False
1938,21,,no participó,,,,,,,,,False
1950,21,,no participó,,,,,,,,,False
1954,21,16.0,Grupos 1ra Ronda,0.0,2.0,0.0,0.0,2.0,0.0,16.0,-16.0,True
1958,21,,no participó,,,,,,,,,False
1962,21,,no participó,,,,,,,,,False
1966,21,,no participó,,,,,,,,,False
1970,21,,no participó,,,,,,,,,False
1974,21,,no participó,,,,,,,,,False
1978,21,,no participó,,,,,,,,,False
1982,21,,no participó,,,,,,,,,False
1986,21,20.0,Grupos 1ra Ronda,1.0,3.0,0.0,1.0,2.0,4.0,7.0,-3.0,True
1990,21,22.0,Grupos 1ra Ronda,0.0,3.0,0.0,0.0,3.0,1.0,6.0,-5.0,True
1994,21,20.0,Grupos 1ra Ronda,2.0,3.0,0.0,2.0,1.0,4.0,5.0,-1.0,True
1998,21,30.0,Grupos 1ra Ronda,1.0,3.0,0.0,1.0,2.0,2.0,9.0,-7.0,True
2002,21,4.0,Partido 3er Puesto,11.0,7.0,3.0,2.0,2.0,8.0,6.0,2.0,True
2006,21,17.0,Grupos 1ra Ronda,4.0,3.0,1.0,1.0,1.0,3.0,4.0,-1.0,True
2010,21,15.0,Octavos de Final,4.0,4.0,1.0,1.0,2.0,6.0,8.0,-2.0,True
2014,21,27.0,Grupos 1ra Ronda,1.0,3.0,0.0,1.0,2.0,3.0,6.0,-3.0,True
2018,21,19.0,Grupos 1ra Ronda,3.0,3.0,1.0,0.0,2.0,3.0,3.0,0.0,True
2022,21,16.0,Octavos de Final,4.0,4.0,1.0,1.0,2.0,5.0,8.0,-3.0,True
2026,21,,clasificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1930,23,,no participó,,,,,,,,,False
1934,23,,no participó,,,,,,,,,False
1938,23,,no participó,,,,,,,,,False
1950,23,,no participó,,,,,,,,,False
1954,23,,no participó,,,,,,,,,False
1958,23,,no participó,,,,,,,,,False
1962,23,,no participó,,,,,,,,,False
1966,23,,no participó,,,,,,,,,False
1970,23,,no participó,,,,,,,,,False
1974,23,,no participó,,,,,,,,,False
1978,23,,no participó,,,,,,,,,False
1982,23,,no participó,,,,,,,,,False
1986,23,,no participó,,,,,,,,,False
1990,23,,no participó,,,,,,,,,False
1994,23,,no participó,,,,,,,,,False
1998,23,,no participó,,,,,,,,,False
2002,23,,no participó,,,,,,,,,False
2006,23,19.0,Grupos 1ra Ronda,3.0,3.0,1.0,0.0,2.0,5.0,6.0,-1.0,True
2010,23,17.0,Grupos 1ra Ronda,4.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,True
2014,23,21.0,Grupos 1ra Ronda,3.0,3.0,1.0,0.0,2.0,4.0,5.0,-1.0,True
2018,23,,no participó,,,,,,,,,False
2022,23,,no participó,,,,,,,,,False
2026,23,,clasificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1930,22,,no participó,,,,,,,,,False
1934,22,,no participó,,,,,,,,,False
1938,22,,no participó,,,,,,,,,False
1950,22,,no participó,,,,,,,,,False
1954,22,,no participó,,,,,,,,,False
1958,22,,no participó,,,,,,,,,False
1962,22,,no participó,,,,,,,,,False
1966,22,,no participó,,,,,,,,,False
1970,22,,no participó,,,,,,,,,False
1974,22,,no participó,,,,,,,,,False
1978,22,,no participó,,,,,,,,,False
1982,22,,no participó,,,,,,,,,False
1986,22,,no participó,,,,,,,,,False
1990,22,13.0,Octavos de Final,4.0,4.0,2.0,0.0,2.0,4.0,6.0,-2.0,True
1994,22,,no participó,,,,,,,,,False
1998,22,,no participó,,,,,,,,,False
2002,22,19.0,Grupos 1ra Ronda,4.0,3.0,1.0,1.0,1.0,5.0,6.0,-1.0,True
2006,22,31.0,Grupos 1ra Ronda,0.0,3.0,0.0,0.0,3.0,3.0,9.0,-6.0,True
2010,22,,no participó,,,,,,,,,False
